,t0_F1E_2,t0_F1E_3,t0_F1E_4,t0_F1C_2,t0_F1C_3,t0_F1C_4,LPS_F1E_1,LPS_F1E_2,LPS_F1E_3,LPS_F1C_1,LPS_F1C_2,LPS_F1C_4
PANX2,4.120493979,3.43364274,0,4.979673913,5.343427512,1.096957241,2.163545579,6.976469624,5.096274689,4.445947206,2.062989379,1.010204394
ENSGALG00000000004,27.46995986,39.48689151,38.25349115,19.91869565,13.74024217,29.06936687,9.375364176,24.41764368,30.57764813,38.23514597,11.34644158,41.41838017
C10orf88,6.867489965,3.43364274,0,4.074278656,4.198407331,3.839350342,1.442363719,5.232352218,5.096274689,1.778378882,4.125978757,8.081635155
ENSGALG00000000048,17.85547391,20.60185644,12.75116372,16.74981225,17.9386495,17.55131585,19.47191021,8.72058703,12.74068672,36.45676709,27.85035661,23.23470107
LAMTOR3,362.6034702,269.5409551,257.5735071,329.5638735,317.1705902,361.9958894,330.3012917,322.6617201,322.3393741,324.554146,329.0468059,347.5103117
TUBB3,1403.714949,2056.752001,2259.506211,1738.811591,1234.713429,1179.229034,1069.512698,2065.035009,1280.439016,1125.713832,1305.872277,1220.326908
SPR,114.0003334,135.6288882,211.6693177,124.4918478,120.227119,105.8563737,116.8314613,158.7146839,145.2438286,117.3730062,124.8108574,153.5510679
ENSGALG00000000081,4.120493979,0,2.550232743,1.358092885,0,1.645435861,55.5310032,33.13823071,3.822206017,40.90271429,35.07081944,38.38776699
TIMM17A,629.0620808,561.400588,532.9986433,539.1628755,492.7403513,632.9443278,556.0312138,565.0940395,583.5234519,518.3974442,486.8654934,611.1736586
INTS4,1.373497993,5.15046411,0,5.432371542,4.198407331,3.290871722,6.490636737,3.488234812,8.918480705,1.778378882,6.188968136,3.030613183
ENSGALG00000000094,9.614485951,17.1682137,12.75116372,7.243162055,4.580080724,6.581743443,7.211818597,8.72058703,6.370343361,8.00270497,6.188968136,10.10204394
UBE2T,116.7473294,89.27471124,160.6646628,102.309664,112.9753245,109.6957241,98.08073292,106.3911618,61.15529626,103.1459752,103.1494689,141.4286152
ENSGALG00000000106,31.59045384,29.18596329,45.90418938,33.04692688,46.18248064,42.78133238,33.17436555,38.37058293,34.39985415,45.3486615,42.29128226,20.20408789
PLP1,57.68691571,49.78781973,53.55488761,38.47929842,64.88447693,55.94481927,64.90636737,43.60293515,85.36260104,24.89730435,47.44875571,51.52042411
GNB2L1,1818.511343,2470.505951,2534.931347,1716.629407,1532.418676,1689.31415,1942.142748,2488.855538,1906.006734,1544.522059,1597.785274,1695.122974
TCF25,307.6635504,403.453022,476.893523,369.8539625,372.8949056,370.7715473,396.6500228,406.3793556,375.8502583,396.5784908,352.7711838,399.0307358
ENSGALG00000000137,289.8080765,240.3549918,244.8223434,264.8281126,290.835126,293.9845405,257.4619239,261.6176109,253.5396658,268.5352112,253.7476936,270.7347777
BLB1,9.614485951,37.77007014,17.8516292,15.844417,14.12191557,9.872615165,24.52018323,22.67352628,8.918480705,15.1162205,55.70071323,25.25510986
CEPT1,74.16889163,65.23921206,45.90418938,95.51919961,77.47969892,97.62919441,83.65709572,80.22940068,85.36260104,88.91894412,92.83452204,93.94900868
SUPT6H,1.373497993,0,0,10.86474308,7.25179448,3.839350342,7.211818597,3.488234812,7.644412033,5.335136647,1.031494689,1.010204394
RPL9,2565.694251,2231.867781,2705.796941,1827.540326,1808.750213,1927.353872,1837.571378,2319.67615,1955.695412,1580.089637,1966.028878,2240.633347
ADAMTS19,1.373497993,1.71682137,0,3.168883399,1.526693575,4.936307582,2.884727439,8.72058703,5.096274689,7.113515529,7.220462826,1.010204394
BRD2,439.5193578,499.5950187,456.491661,497.5146937,448.847911,329.6356508,548.8193952,566.8381569,359.2873656,572.6380001,428.0702961,503.0817884
HLA-DMA,108.5063415,127.0447814,168.3153611,116.3432905,64.50280353,122.3107323,116.8314613,94.18233992,72.62191431,104.0351646,78.39359639,89.9081911
ISOC1,83.78337758,70.38967617,33.15302566,97.32999012,76.33467874,84.46570752,59.85809435,106.3911618,94.28108174,91.58651244,83.55106984,58.59185488
ENSGALG00000000162,2.746995986,10.30092822,10.20093097,6.790464427,4.580080724,2.193914481,5.769454877,1.744117406,7.644412033,4.445947206,5.157473447,7.071430761
MYBPH,5.493991972,0,0,5.432371542,7.633467874,3.290871722,0,0,1.274068672,2.667568323,4.125978757,2.020408789
ADORA1,48.07242976,63.52239069,45.90418938,56.58720356,47.70917421,78.4324427,47.59800274,36.62646553,72.62191431,49.7946087,44.35427164,61.62246806
ENSGALG00000000189,0,1.71682137,2.550232743,1.358092885,2.290040362,3.290871722,0,1.744117406,2.548137344,1.778378882,5.157473447,0
SVCT2,2.746995986,8.58410685,2.550232743,5.432371542,3.435060543,4.387828962,3.605909298,5.232352218,11.46661805,10.67027329,4.125978757,10.10204394
PLEKHM1,56.31341772,75.54014028,66.30605133,45.72246047,46.18248064,46.62068272,40.38618414,55.81175699,43.31833485,52.46217703,51.57473447,52.53062851
